x,y,z,intensity,index
230.89039599999998,-1.5874,19.4709,3598,0.0
230.893799,-1.6107,19.446199,0,0.0
230.89529399999998,-1.5881999999999998,19.5655,2827,0.0
230.89889499999998,-1.5415999999999999,19.441999,0,0.0
230.89970399999999,-1.5324,19.326999999999998,1542,0.0
230.906693,-1.5901999999999998,19.574699,0,0.0
230.907196,-1.5455999999999999,19.443899,0,0.0
230.90919499999998,-1.4333,19.378799,2313,0.0
230.912003,-1.5564,19.459801,1799,0.0
230.923996,-1.3217999999999999,20.732201,2827,0.0
230.92439299999998,-1.3074999999999999,20.691799,0,0.0
230.92460599999998,-1.5665,19.435800999999998,0,0.0
230.927505,-1.535,20.4786,3084,0.0
230.930603,-1.5473,19.473800999999998,0,0.0
230.932693,-1.321,20.642098999999998,0,0.0
230.93469199999998,-1.5886,20.493299,4112,0.0
230.93769799999998,-1.5997999999999999,24.0688,4883,0.0
230.939301,-1.6358,19.523001,0,0.0
230.942902,-1.3678,20.661199999999997,2313,0.0
230.944504,-1.3199999999999998,20.721901,0,0.0
230.946396,-1.1904,20.916,4883,0.0
230.94889799999999,-1.4164999999999999,19.407301,3084,0.0
230.950897,-1.2034,20.6987,3598,0.0
230.95230099999998,-1.508,19.467299999999998,3341,0.0
230.952499,-1.6016,19.4014,15163,0.0
230.952499,-1.4276,24.229,0,0.0
230.95370499999999,-1.3981999999999999,24.0065,0,0.0
230.95680199999998,-1.0508,20.884899,0,0.0
230.961197,-1.1851,20.816499999999998,3598,0.0
230.962006,-1.5287,19.343201,2313,0.0
230.965195,-1.6481,19.454399,1028,0.0
230.965195,-1.5837999999999999,24.437901,3341,0.0
230.966095,-1.4546999999999999,20.705799,0,0.0
230.96719399999998,-1.6139,23.969101,3598,0.0
230.96809399999998,-1.248,20.941699999999997,6168,0.0
230.968796,-1.4796,24.2316,10537,0.0
230.96899399999998,-1.4218,20.760400999999998,2827,0.0
230.970001,-1.2721,20.7931,3084,0.0
230.97169499999998,-1.5706,24.4839,3084,0.0
230.97500599999998,-1.5521,19.5525,4112,0.0
230.976196,-1.4408999999999998,20.7323,4626,0.0
230.979401,-1.5458999999999998,24.562200999999998,7453,0.0
230.98080399999998,-1.2923,20.7197,3084,0.0
230.982101,-1.2855999999999999,20.8435,1799,0.0
230.983002,-1.3592,24.003099,4883,0.0
230.98350499999998,-1.2494999999999998,20.670299999999997,3855,0.0
230.986603,-1.6854,20.4699,2827,0.0
230.986694,-1.5532,24.492200999999998,8738,0.0
230.987,-1.5582,19.545401,0,0.0
230.988205,-1.49,24.037900999999998,2056,0.0
230.98930399999998,-1.6715,24.5028,3084,0.0
230.990005,-0.6224,4.2649,3084,0.0
230.990295,-1.4216,24.443001,10023,0.0
230.993103,-1.6205999999999998,19.608299,2827,0.0
230.99389599999998,-0.985,20.891700999999998,8995,0.0
230.994095,-1.2468,20.9084,2313,0.0
230.994598,-0.5645,20.7833,17990,0.0
230.995193,-1.6455,19.578501,0,0.0
230.995193,-0.6927,20.9137,1285,0.0
230.995804,-1.4932999999999998,24.0798,0,0.0
230.996094,-1.1744999999999999,24.152399,3598,0.0
230.99830599999999,-0.7223999999999999,20.717399999999998,3341,0.0
230.99929799999998,-1.6213,19.531601,1285,0.0
231.00010699999999,-1.6239,19.5093,2313,0.0
231.00010699999999,-0.6403,4.2013,5140,0.0
231.00199899999998,-1.6652,19.6068,0,0.0
231.002106,-1.5654,24.5373,0,0.0
231.002502,-0.4563,20.728099999999998,8995,0.0
231.003494,-1.3385,21.0107,2313,0.0
231.00500499999998,-0.7021,20.561000999999997,1028,0.0
231.00509599999998,-0.9714999999999999,24.207399,1542,0.0
231.00590499999998,-0.45749999999999996,20.726601,0,0.0
231.00599699999998,-0.3867,16.167199999999998,0,0.0
231.006195,-1.573,20.445,3084,0.0
231.006195,-0.5039,20.726801,0,0.0
231.007095,-0.487,20.654899999999998,2313,0.0
231.007294,-1.6312,24.4223,0,0.0
231.007294,-1.3289,20.7241,0,0.0
231.009201,-0.5213,20.7547,0,0.0
231.00990299999998,-0.5853999999999999,4.2839,3855,0.0
231.009995,-1.1993,20.994899999999998,2570,0.0
231.010605,-1.1402999999999999,20.915001,0,0.0
231.010696,-0.8621,20.683999999999997,4112,0.0
231.01229899999998,-1.3803999999999998,24.0075,0,0.0
231.013397,-0.6159,20.66,6425,0.0
231.014297,-1.5496999999999999,19.5504,0,0.0
231.01530499999998,-0.7161,20.760799,4883,0.0
231.01759299999998,-0.4865,20.7749,0,0.0
231.01780699999998,-0.6810999999999999,20.5982,2056,0.0
231.017899,-0.5705,20.7477,2313,0.0
231.018204,-1.1309,20.853299999999997,0,0.0
231.019196,-1.3735,20.642401,2827,0.0
231.020096,-0.5195,20.749599,0,0.0
231.023697,-1.5456999999999999,19.577999,0,0.0
231.02510099999998,-1.5061,24.098800999999998,2827,0.0
231.025299,-1.4903,20.4303,1285,0.0
231.026093,-0.8112999999999999,20.7225,0,0.0
231.026794,-0.2737,20.792600999999998,5397,0.0
231.027603,-1.2262,24.424298999999998,2827,0.0
231.028,-0.9517,20.655898999999998,4112,0.0
231.02900699999998,-0.3963,16.332199,2313,0.0
231.029099,-0.3384,20.643100999999998,5140,0.0
231.03359999999998,-0.7293999999999999,20.5599,2313,0.0
231.03449999999998,-0.8759,20.7703,0,0.0
231.036194,-1.1656,20.881399,3084,0.0
231.03630099999998,-0.8281,20.723399999999998,0,0.0
231.03810099999998,-1.5759999999999998,19.548401,0,0.0
231.03849799999998,-1.6211,19.606700999999997,0,0.0
231.038895,-1.2937999999999998,20.7806,0,0.0
231.039505,-0.8482999999999999,20.733,0,0.0
231.03990199999998,-1.5774,19.564501,0,0.0
231.04029799999998,-1.1481,24.1005,3084,0.0
231.043503,-0.4366,20.643499,7967,0.0
231.044403,-1.6685999999999999,19.6738,6939,0.0
231.044403,-1.3094999999999999,20.7962,2056,0.0
231.044693,-1.672,19.6402,3598,0.0
231.044998,-0.9273,20.856001,2056,0.0
231.045502,-1.5418999999999998,19.5443,4369,0.0
231.04600499999998,-1.6066,19.6217,2056,0.0
231.046799,-1.0446,24.361601,0,0.0
231.047394,-0.7903,20.7316,2313,0.0
231.04750099999998,-0.367,20.6919,0,0.0
231.048004,-1.416,23.9512,4369,0.0
231.04849199999998,-0.6486999999999999,4.263599999999999,4112,0.0
231.04939299999998,-0.2002,20.8346,2313,0.0
231.04960599999998,-0.8876,24.318899,5140,0.0
231.04969799999998,-1.5907,24.542299,3084,0.0
231.050201,-0.2296,20.749599,0,0.0
231.050705,-0.6598999999999999,4.2207,5911,0.0
231.051697,0.055299999999999995,21.023198999999998,2056,0.0
231.051895,-0.3984,20.686999999999998,0,0.0
231.05209399999998,-1.0179,24.379199999999997,4112,0.0
231.052902,-0.12229999999999999,20.638901,3084,0.0
231.053207,-0.7131,20.672000999999998,5140,0.0
231.053406,-0.38899999999999996,16.275101,0,0.0
231.053696,-0.5108,24.4596,3341,0.0
231.054398,-1.6116,19.583799,5911,0.0
231.054596,-1.3474,20.742399,5911,0.0
231.055801,-1.5700999999999998,24.467399999999998,3341,0.0
231.05630499999998,-0.8661,20.714700999999998,4626,0.0
231.057098,-0.08779999999999999,20.9326,4626,0.0
231.057404,-0.979,20.9618,6682,0.0
231.058395,-1.664,19.664301,0,0.0
231.05850199999998,-1.4353,20.5994,2313,0.0
231.05909699999998,-1.0603,20.9184,0,0.0
231.05940199999998,-1.3053,24.0795,3598,0.0
231.05990599999998,-1.6527999999999998,19.6054,0,0.0
231.060104,-0.5828,4.2679,2313,0.0
231.060394,-0.8059999999999999,24.3218,14135,0.0
231.061096,-0.21559999999999999,20.733299,2056,0.0
231.061996,-1.2464,24.018499,3598,0.0
231.06300399999998,-0.5126,20.7302,2313,0.0
231.06309499999998,-0.43479999999999996,20.683398999999998,0,0.0
231.063705,-1.6595,19.662001,0,0.0
231.064301,-1.3775,24.427699999999998,6168,0.0
231.064301,-0.3096,20.790899,0,0.0
231.064606,-1.5724,20.689501,2570,0.0
